106,               Financial administration,"51,466,506",1.3,"30,227,419","21,239,087",3.16,"687,379",3.34,"384,057","303,322",7.57,"386,187",1.43,"269,861","116,326",4.74,"556,013",3.33,"200,180","355,833",5.21,"656,223",4.02,"498,883","157,340",16.79,"5,725,552",3.48,"3,519,092","2,206,460",9.03,"1,224,548",1.72,"746,788","477,760",4.4,"618,736",5.35,"404,021","214,715",15.4,"342,030",0.25,"302,442","39,588",2.18,"306,211",0,0,"306,211",0,"3,783,138",3.92,"591,977","3,191,161",4.65,"1,351,358",11.33,"616,002","735,356",20.82,"297,795",0,"223,224","74,571",0,"295,135",2.05,"202,778","92,357",6.55,"1,995,251",18.83,"1,155,229","840,022",44.73,"600,376",6.54,"373,679","226,697",17.33,"497,636",6.99,"287,635","210,001",16.56,"469,938",6.51,"276,456","193,482",15.82,"517,212",1.9,"372,155","145,057",6.78,"713,022",4.45,"361,385","351,637",9.03,"372,290",2.12,"323,938","48,352",16.31,"1,093,713",0.59,"779,802","313,911",2.04,"1,242,806",5.72,"826,685","416,121",17.09,"1,596,926",9.5,"943,569","653,357",23.23,"1,628,777",6.76,"1,157,853","470,924",23.4,"502,194",2.9,"307,007","195,187",7.45
107,               Judicial and legal,"49,759,094",1.04,"25,063,243","24,695,851",2.1,"402,070",2.31,"220,290","181,780",5.11,"242,974",0.06,"221,148","21,826",0.72,"1,024,297",1.49,"161,415","862,882",1.77,"237,561",5.17,"133,285","104,276",11.77,"9,193,423",0.24,"5,063,739","4,129,684",0.53,"953,418",0.96,"624,405","329,013",2.77,"685,907",1.07,"636,010","49,897",14.74,"201,692",0.11,"194,319","7,373",3.07,"171,797",0,0,"171,797",0,"2,635,576",1.24,"1,679,486","956,090",3.41,"1,534,024",9.21,"360,532","1,173,492",12.04,"325,777",0,"260,327","65,450",0,"237,091",2.25,"88,815","148,276",3.6,"1,505,680",4.78,"583,334","922,346",7.8,"646,206",6.92,"214,508","431,698",10.36,"385,206",4.24,"249,688","135,518",12.05,"349,426",5.76,"182,446","166,980",12.06,"575,718",1.55,"529,335","46,383",19.22,"686,241",2.35,"314,932","371,309",4.35,"119,152",2.14,"98,407","20,745",12.28,"1,020,854",0.21,"644,386","376,468",0.56,"1,119,358",1.2,"1,042,357","77,001",17.49,"1,402,375",5.06,"244,283","1,158,092",6.13,"830,391",4.38,"550,816","279,575",13.02,"287,822",2.79,"123,260","164,562",4.88
108,               General public buildings,"16,186,440",1.73,"4,483,969","11,702,471",2.4,"133,196",4.27,538,"132,658",4.28,"82,399",0.8,"62,888","19,511",3.36,"202,506",5.22,"20,153","182,353",5.79,"39,493",15.55,"7,969","31,524",19.48,"646,660",4.22,"28,586","618,074",4.42,"297,051",5.7,"4,118","292,933",5.78,"125,258",13.12,"1,229","124,029",13.25,"111,969",1.7,"72,585","39,384",4.84,"256,397",0,0,"256,397",0,"302,594",4.75,"28,287","274,307",5.24,"571,015",11,"69,577","501,438",12.53,"140,301",0,"72,406","67,895",0,"247,202",1.21,"195,220","51,982",5.78,"689,948",12.55,"69,173","620,775",13.95,"149,324",11.9,"59,417","89,907",19.76,"129,277",13.29,"23,773","105,504",16.28,"157,506",10.37,"23,663","133,843",12.21,"98,844",11.91,"37,138","61,706",19.08,"126,778",4.54,"26,752","100,026",5.76,"110,044",4.53,"39,612","70,432",7.07,"372,466",0.76,"95,957","276,509",1.02,"1,028,023",5.56,"369,024","658,999",8.68,"226,874",36.63,0,"226,874",36.63,"284,323",9.87,"58,131","226,192",12.41,"93,971",4.15,0,"93,971",4.15
109,               Other governmental administration,"38,416,784",3.65,"7,707,650","30,709,134",4.57,"507,040",9.35,"69,816","437,224",10.85,"297,103",1.61,"161,911","135,192",3.53,"689,131",7.73,"235,255","453,876",11.73,"256,301",11.29,"77,446","178,855",16.18,"7,309,672",13.43,"482,841","6,826,831",14.38,"1,045,605",5.22,"164,248","881,357",6.19,"703,182",6.78,"438,911","264,271",18.03,"172,331",1.25,"99,182","73,149",2.93,"157,832",0,0,"157,832",0,"1,380,689",10.35,"262,565","1,118,124",12.78,"774,069",21.78,"68,982","705,087",23.91,"225,040",0,"39,030","186,010",0,"163,761",6.2,"26,448","137,313",7.4,"2,168,153",28.72,"83,236","2,084,917",29.87,"1,096,689",13.53,"148,935","947,754",15.66,"252,282",9.25,"70,540","181,742",12.84,"337,512",14.53,"72,522","264,990",18.51,"528,651",9.63,"84,344","444,307",11.46,"472,663",7.72,"185,441","287,222",12.71,"164,508",15.93,"37,876","126,632",20.69,"697,690",1.31,"114,067","583,623",1.57,"456,854",9.7,"198,961","257,893",17.18,"876,223",21.35,"234,332","641,891",29.15,"610,747",19.8,"245,267","365,480",33.09,"271,918",5.77,"44,084","227,834",6.89
110,     Interest on general debt,"113,785,300",0.76,"45,692,960","68,092,340",1.28,"1,003,006",2.25,"384,485","618,521",3.66,"291,725",0.27,"201,374","90,351",0.87,"1,373,883",2.08,"502,346","871,537",3.28,"508,745",2.8,"163,022","345,723",4.12,"18,099,825",2.22,"6,115,541","11,984,284",3.35,"2,418,543",9.44,"835,251","1,583,292",14.42,"1,956,795",1.41,"1,549,443","407,352",6.76,"301,485",0.34,"231,699","69,786",1.47,"616,004",0,0,"616,004",0,"3,684,637",6.87,"805,493","2,879,144",8.79,"1,609,680",5.53,"577,975","1,031,705",8.63,"372,909",0,"106,596","266,313",0,"266,321",2.17,"164,116","102,205",5.66,"7,978,082",4.87,"4,344,299","3,633,783",10.69,"2,007,687",3.01,"1,099,475","908,212",6.65,"606,709",4.3,"224,434","382,275",6.82,"693,958",3.02,"150,666","543,292",3.85,"1,159,902",2.17,"568,351","591,551",4.26,"1,231,476",1.4,"799,538","431,938",3.98,"234,386",2.44,"122,072","112,314",5.09,"2,834,393",0.12,"1,792,695","1,041,698",0.33,"3,329,790",2.03,"2,748,254","581,536",11.64,"3,129,320",2.25,"1,752,635","1,376,685",5.12,"1,724,788",4.95,"611,785","1,113,003",7.66,"537,062",0.88,"311,206","225,856",2.09
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"     General expenditure, n.e.c.:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,               Miscellaneous commercial activities,"8,086,157",4.2,"5,435,956","2,650,201",12.82,"18,390",10.65,0,"18,390",10.65,"275,936",1.26,"250,209","25,727",13.56,"11,606",16.65,0,"11,606",16.65,"46,519",0.74,"1,043","45,476",0.76,"1,229,116",27.12,"2,436","1,226,680",27.17,"110,218",14.89,0,"110,218",14.89,"4,453",15.92,714,"3,739",18.96,15,0,0,15,0,0,0,0,0,0,"4,859,982",0,"4,859,941",41,0,"52,050",17.7,0,"52,050",17.7,396,0,0,396,0,"28,098",84.55,0,"28,098",84.55,"34,373",110.3,0,"34,373",110.3,"15,814",22.64,0,"15,814",22.64,"63,125",4.33,0,"63,125",4.33,"30,182",53.61,0,"30,182",53.61,"61,516",1.81,0,"61,516",1.81,"57,162",2.63,0,"57,162",2.63,"8,254",27.06,0,"8,254",27.06,"34,150",0,"18,579","15,571",0,"18,814",3.98,0,"18,814",3.98,"102,560",3.67,453,"102,107",3.68,"24,661",56.85,0,"24,661",56.85,"7,033",2.39,0,"7,033",2.39
112,               Other and unallocable,"141,435,601",1.36,"38,447,492","102,988,109",1.86,"1,694,664",3.42,"669,506","1,025,158",5.66,"765,299",1.69,"327,798","437,501",2.95,"1,500,351",3.33,"173,373","1,326,978",3.76,"389,094",7.22,"98,789","290,305",9.68,"11,702,893",3.62,"1,049,894","10,652,999",3.97,"2,531,847",8.8,"481,751","2,050,096",10.87,"3,895,894",3.65,"1,093,360","2,802,534",5.07,"266,713",0.87,"190,896","75,817",3.07,"624,578",0,0,"624,578",0,"8,004,130",4.23,"2,054,624","5,949,506",5.69,"2,510,312",7.96,"408,426","2,101,886",9.51,"2,077,586",0,"1,530,809","546,777",0,"476,024",3.23,"193,949","282,075",5.45,"10,415,736",5.95,"6,306,210","4,109,526",15.09,"2,844,191",6.44,"433,149","2,411,042",7.59,"1,232,757",5.69,"222,133","1,010,624",6.94,"966,787",11.48,"171,568","795,219",13.95,"915,631",7.83,"373,326","542,305",13.22,"1,775,551",2,"1,240,700","534,851",6.63,"700,509",3.72,"258,796","441,713",5.9,"4,093,131",0.38,"569,037","3,524,094",0.44,"7,360,686",5.54,"2,185,303","5,175,383",7.88,"4,580,188",10.4,"1,015,034","3,565,154",13.36,"2,159,135",10.11,"474,369","1,684,766",12.96,"609,833",1.83,"237,896","371,937",3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,     Utility expenditure,"246,411,932",0.9,"31,951,189","214,460,743",1.04,"3,279,937",2.24,76,"3,279,861",2.24,"615,909",0.54,"129,229","486,680",0.69,"6,169,431",0.85,"22,827","6,146,604",0.86,"1,046,271",5.26,0,"1,046,271",5.26,"47,279,441",3.16,"1,616,467","45,662,974",3.27,"4,401,573",6.37,"13,462","4,388,111",6.39,"1,486,756",0.97,"615,594","871,162",1.65,"583,898",0.3,"174,214","409,684",0.42,"4,653,177",0,0,"4,653,177",0,"12,811,428",1.96,"291,796","12,519,632",2.01,"6,420,169",3.87,"30,976","6,389,193",3.89,"1,257,254",0,0,"1,257,254",0,"261,179",8.78,0,"261,179",8.78,"8,177,214",9.22,"9,232","8,167,982",9.23,"2,585,030",4.41,0,"2,585,030",4.41,"1,345,786",4.33,0,"1,345,786",4.33,"1,541,357",5.31,0,"1,541,357",5.31,"2,048,968",4.81,"30,366","2,018,602",4.88,"1,332,178",3.49,"10,018","1,322,160",3.52,"201,096",9.19,"30,444","170,652",10.82,"3,668,327",0.31,"1,764,037","1,904,290",0.6,"6,720,201",2.29,"3,488,423","3,231,778",4.76,"3,745,283",3.6,430,"3,744,853",3.6,"3,128,944",6.47,"395,019","2,733,925",7.4,"828,163",2.2,0,"828,163",2.2
114,               Capital outlay,"57,604,219",0.8,"10,284,474","47,319,745",0.97,"392,676",3.42,0,"392,676",3.42,"112,631",0.78,"17,646","94,985",0.92,"1,776,016",0.35,0,"1,776,016",0.35,"203,934",5.73,0,"203,934",5.73,"10,575,935",1.61,"940,801","9,635,134",1.77,"1,088,255",10.76,11,"1,088,244",10.76,"220,380",1.86,"113,339","107,041",3.82,"60,077",0.01,"28,193","31,884",0.02,"2,315,040",0,0,"2,315,040",0,"3,075,109",1.78,"106,107","2,969,002",1.84,"1,105,994",2.68,0,"1,105,994",2.68,"652,759",0,0,"652,759",0,"54,291",21.54,0,"54,291",21.54,"1,727,802",10.18,44,"1,727,758",10.18,"344,465",4.32,0,"344,465",4.32,"205,010",3.34,0,"205,010",3.34,"247,959",5.51,0,"247,959",5.51,"353,528",3.76,1,"353,527",3.76,"103,364",11.64,5,"103,359",11.64,"37,410",15.87,0,"37,410",15.87,"936,609",0,"464,627","471,982",0,"1,799,343",2.31,"1,410,833","388,510",10.69,"769,819",4.21,430,"769,389",4.21,"499,181",10.31,"84,142","415,039",12.4,"109,856",5.98,0,"109,856",5.98
115,          Water supply,"75,396,347",2.75,"482,389","74,913,958",2.77,"940,833",6.88,76,"940,757",6.88,"134,591",1.51,0,"134,591",1.51,"1,576,149",2.76,22,"1,576,127",2.76,"549,174",10.01,0,"549,174",10.01,"18,519,077",7.52,"33,057","18,486,020",7.53,"1,852,096",15.01,"13,462","1,838,634",15.12,"384,339",2.68,0,"384,339",2.68,"98,516",1.2,"8,377","90,139",1.32,"363,519",0,0,"363,519",0,"5,024,316",4.79,0,"5,024,316",4.79,"2,164,379",8.16,0,"2,164,379",8.16,"401,661",0,0,"401,661",0,"155,652",14.54,0,"155,652",14.54,"2,971,768",24.68,0,"2,971,768",24.68,"795,027",12.51,0,"795,027",12.51,"624,338",7.21,0,"624,338",7.21,"693,888",10.42,0,"693,888",10.42,"946,118",10.31,"29,075","917,043",10.63,"528,731",7.72,"5,637","523,094",7.8,"118,686",15.56,0,"118,686",15.56,"1,560,871",0.71,0,"1,560,871",0.71,"1,567,912",7.31,"258,727","1,309,185",8.76,"1,470,105",7.23,0,"1,470,105",7.23,"894,098",17.48,0,"894,098",17.48,"323,492",5.06,0,"323,492",5.06
116,          Electric power,"79,203,026",0.64,"9,558,379","69,644,647",0.73,"1,896,834",1.74,0,"1,896,834",1.74,"349,930",0.76,"75,561","274,369",0.96,"3,568,517",0.79,"22,805","3,545,712",0.8,"464,787",0.02,0,"464,787",0.02,"11,860,722",2.3,"409,908","11,450,814",2.38,"1,105,840",2.83,0,"1,105,840",2.83,"351,156",0.03,0,"351,156",0.03,"319,208",0.4,0,"319,208",0.4,0,0,0,0,0,"5,432,484",1.27,0,"5,432,484",1.27,"2,508,001",6.31,0,"2,508,001",6.31,0,0,0,0,0,"76,337",0.7,0,"76,337",0.7,"1,018,933",14.48,"9,232","1,009,701",14.61,"1,237,384",4.44,0,"1,237,384",4.44,"536,370",6.7,0,"536,370",6.7,"768,721",4.92,0,"768,721",4.92,"569,468",1.3,0,"569,468",1.3,"504,853",3.37,"4,381","500,472",3.39,"15,390",2.23,0,"15,390",2.23,"73,857",3.26,0,"73,857",3.26,"1,398,421",7.21,"15,982","1,382,439",7.3,"1,517,628",3.82,0,"1,517,628",3.82,"1,506,227",8.5,0,"1,506,227",8.5,"377,971",0.85,0,"377,971",0.85
117,          Gas supply,"7,701,751",1.51,"63,788","7,637,963",1.52,"362,895",2.59,0,"362,895",2.59,"80,645",0.2,"53,668","26,977",0.61,"37,714",11.52,0,"37,714",11.52,"1,409",17.25,0,"1,409",17.25,"286,489",1.89,0,"286,489",1.89,"176,560",3.24,0,"176,560",3.24,"23,680",0.32,0,"23,680",0.32,0,0,0,0,0,0,0,0,0,0,"246,458",5.89,0,"246,458",5.89,"845,480",8.9,0,"845,480",8.9,0,0,0,0,0,0,0,0,0,0,"68,108",74.9,0,"68,108",74.9,"304,626",2.39,0,"304,626",2.39,"62,059",12.68,0,"62,059",12.68,"36,033",16.62,0,"36,033",16.62,"311,477",2.7,0,"311,477",2.7,"81,845",17.66,0,"81,845",17.66,50,0,0,50,0,"6,190",1.82,0,"6,190",1.82,"41,580",0,0,"41,580",0,0,0,0,0,0,"96,918",2.38,0,"96,918",2.38,"103,334",7.06,0,"103,334",7.06
118,          Transit,"84,110,807",0.72,"21,846,633","62,264,174",0.97,"79,376",3.69,0,"79,376",3.69,"50,744",0,0,"50,744",0,"987,050",0.83,0,"987,050",0.83,"30,901",0,0,"30,901",0,"16,613,153",2.8,"1,173,502","15,439,651",3.01,"1,267,077",1.38,0,"1,267,077",1.38,"727,581",1.38,"615,594","111,987",8.96,"166,174",0,"165,837",337,0,"4,289,658",0,0,"4,289,658",0,"2,108,171",0.35,"291,796","1,816,375",0.41,"902,308",0.19,"30,976","871,332",0.2,"855,593",0,0,"855,593",0,"29,190",12.49,0,"29,190",12.49,"4,118,405",1.97,0,"4,118,405",1.97,"247,993",1.22,0,"247,993",1.22,"123,018",3.59,0,"123,018",3.59,"42,715",1.81,0,"42,715",1.81,"221,905",4.03,"1,291","220,614",4.05,"216,749",0.36,0,"216,749",0.36,"66,970",0.44,"30,444","36,526",0.81,"2,027,408",0.01,"1,764,037","263,371",0.09,"3,712,287",0.48,"3,213,714","498,573",3.56,"757,551",7.8,430,"757,121",7.81,"631,700",1.97,"395,019","236,681",5.25,"23,366",0,0,"23,366",0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,     Liquor store expenditure,"8,890,826",1.48,"7,536,797","1,354,029",9.69,"351,058",0,"351,058",0,0,"7,693",26.8,0,"7,693",26.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"143,619",0,"143,619",0,0,0,0,0,0,0,0,0,0,0,0,"239,477",0,"239,477",0,0,0,0,0,0,0,"4,759",0,"4,759",0,0,0,0,0,0,0,"133,175",0,"133,175",0,0,"266,851",0,0,"266,851",0,0,0,0,0,0,"953,839",0,"953,839",0,0,"296,706",36.1,0,"296,706",36.1,"307,076",0,"307,076",0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,     Insurance trust expenditure,"373,320,973",0.12,"313,046,205","60,274,768",0.76,"3,813,804",0,"3,554,880","258,924",0,"1,464,618",0,"1,432,217","32,401",0,"5,079,868",0,"4,606,968","472,900",0.04,"2,231,247",0.01,"2,182,763","48,484",0.44,"71,769,939",0.04,"56,794,911","14,975,028",0.18,"6,331,803",0.21,"5,893,564","438,239",3.1,"5,929,726",0.12,"4,979,298","950,428",0.74,"855,271",0.96,"763,672","91,599",8.98,"599,012",0,0,"599,012",0,"13,563,701",0.53,"10,760,069","2,803,632",2.57,"8,464,698",0.08,"7,240,413","1,224,285",0.52,"1,645,696",0,"1,645,696",0,0,"1,281,712",0,"1,279,835","1,877",0,"22,427,884",0.18,"16,114,618","6,313,266",0.66,"2,822,830",0.03,"2,701,230","121,600",0.76,"2,830,570",0,"2,825,506","5,064",0,"2,109,566",0,"1,981,404","128,162",0,"4,821,556",0.04,"4,739,811","81,745",2.15,"5,202,744",0.53,"4,947,371","255,373",10.7,"1,111,024",0,"1,111,024",0,0,"6,195,536",0.09,"4,630,699","1,564,837",0.34,"9,554,333",0.38,"7,363,958","2,190,375",1.65,"10,187,649",0.51,"8,325,069","1,862,580",2.78,"6,101,010",0.03,"5,902,386","198,624",0.85,"2,953,326",0,"2,953,326",0,0
121,          Unemployment compensation,"27,079,539",0,"26,959,529","120,010",0,"145,909",0,"145,909",0,0,"85,082",0,"85,082",0,0,"209,766",0,"209,766",0,0,"98,346",0,"98,346",0,0,"5,110,692",0,"5,110,692",0,0,"381,785",0,"381,785",0,0,"602,724",0,"602,724",0,0,"60,485",0,"60,485",0,0,"120,010",0,0,"120,010",0,"329,943",0,"329,943",0,0,"295,567",0,"295,567",0,0,"159,558",0,"159,558",0,0,"86,903",0,"86,903",0,0,"1,688,356",0,"1,688,356",0,0,"242,422",0,"242,422",0,0,"369,952",0,"369,952",0,0,"134,423",0,"134,423",0,0,"287,650",0,"287,650",0,0,"127,601",0,"127,601",0,0,"86,252",0,"86,252",0,0,"433,842",0,"433,842",0,0,"1,451,316",0,"1,451,316",0,0,"736,593",0,"736,593",0,0,"775,076",0,"775,076",0,0,"61,738",0,"61,738",0,0
122,          Employee retirement,"330,786,198",0.14,"270,631,440","60,154,758",0.76,"3,667,895",0,"3,408,971","258,924",0,"1,376,218",0,"1,343,817","32,401",0,"4,870,102",0,"4,397,202","472,900",0.04,"2,118,692",0.01,"2,070,208","48,484",0.44,"58,846,715",0.05,"43,871,687","14,975,028",0.18,"5,567,151",0.24,"5,128,912","438,239",3.1,"5,304,123",0.13,"4,353,695","950,428",0.74,"789,552",1.04,"697,953","91,599",8.98,"479,002",0,0,"479,002",0,"13,190,905",0.55,"10,387,273","2,803,632",2.57,"8,135,397",0.08,"6,911,112","1,224,285",0.52,"1,486,138",0,"1,486,138",0,0,"1,040,747",0,"1,038,870","1,877",0,"20,698,980",0.2,"14,385,714","6,313,266",0.66,"2,573,741",0.04,"2,452,141","121,600",0.76,"2,453,480",0,"2,448,416","5,064",0,"1,950,102",0,"1,821,940","128,162",0,"4,413,982",0.04,"4,332,237","81,745",2.15,"4,987,202",0.55,"4,731,829","255,373",10.7,"1,024,772",0,"1,024,772",0,0,"5,600,943",0.09,"4,036,106","1,564,837",0.34,"8,060,017",0.45,"5,869,642","2,190,375",1.65,"9,441,564",0.55,"7,578,984","1,862,580",2.78,"5,261,537",0.03,"5,062,913","198,624",0.85,"2,891,588",0,"2,891,588",0,0
123,          Workers' compensation,"7,814,486",0,"7,814,486",0,0,0,0,0,0,0,"3,318",0,"3,318",0,0,0,0,0,0,0,"14,209",0,"14,209",0,0,"1,027,717",0,"1,027,717",0,0,"379,094",0,"379,094",0,0,"22,879",0,"22,879",0,0,"5,234",0,"5,234",0,0,0,0,0,0,0,"42,853",0,"42,853",0,0,0,0,0,0,0,0,0,0,0,0,"154,062",0,"154,062",0,0,"40,548",0,"40,548",0,0,"6,667",0,"6,667",0,0,"7,138",0,"7,138",0,0,"25,041",0,"25,041",0,0,"119,924",0,"119,924",0,0,"58,659",0,"58,659",0,0,0,0,0,0,0,"93,061",0,"93,061",0,0,"43,000",0,"43,000",0,0,"9,492",0,"9,492",0,0,"64,397",0,"64,397",0,0,0,0,0,0,0
124,          Other insurance trust,"7,640,750",0,"7,640,750",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,784,815",0,"6,784,815",0,0,"3,773",0,"3,773",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"33,734",0,"33,734",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"29,282",0,"29,282",0,0,0,0,0,0,0,"67,690",0,"67,690",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,            Debt outstanding,"3,170,325,384",0.16,"1,174,375,288","1,995,950,096",0.25,"30,859,593",0.94,"10,097,887","20,761,706",1.39,"9,505,582",0.53,"6,060,930","3,444,652",1.46,"44,528,672",0.51,"13,615,824","30,912,848",0.74,"19,470,364",1.08,"7,184,471","12,285,893",1.71,"506,660,575",0.61,"145,292,659","361,367,916",0.86,"63,953,107",3.13,"19,241,118","44,711,989",4.48,"53,612,594",0.41,"41,822,351","11,790,243",1.86,"7,450,721",0.32,"4,963,995","2,486,726",0.95,"4,886,222",0,0,"4,886,222",0,"130,231,810",0.77,"26,032,413","104,199,397",0.96,"60,443,868",0.7,"13,624,252","46,819,616",0.91,"17,715,106",0,"10,001,827","7,713,279",0,"6,143,267",0.87,"3,380,611","2,762,656",1.93,"165,097,099",0.71,"65,272,158","99,824,941",1.17,"50,306,449",0.28,"22,435,549","27,870,900",0.51,"19,653,861",0.69,"6,185,137","13,468,724",1.01,"26,532,661",0.75,"7,417,694","19,114,967",1.04,"53,097,228",0.6,"15,346,875","37,750,353",0.85,"34,411,300",0.56,"17,446,573","16,964,727",1.13,"8,416,265",1.17,"4,695,100","3,721,165",2.65,"56,468,794",0.44,"28,920,091","27,548,703",0.9,"98,310,530",0.47,"78,663,118","19,647,412",2.33,"72,348,116",0.51,"31,963,637","40,384,479",0.91,"54,923,265",0.59,"17,113,745","37,809,520",0.85,"14,480,675",0.31,"7,225,292","7,255,383",0.61
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Short-term,"35,107,742",1.32,"9,104,808","26,002,934",1.79,"281,189",0.77,"49,946","231,243",0.93,"60,367",13.97,"49,469","10,898",77.37,"414,976",0.02,"84,702","330,274",0.02,"13,500",12.41,"6,625","6,875",24.36,"795,747",1.08,0,"795,747",1.08,"425,188",1.78,"365,510","59,678",12.67,"440,781",12.4,0,"440,781",12.4,"25,913",0,0,"25,913",0,"83,170",0,0,"83,170",0,"146,251",2.96,"51,449","94,802",4.57,"510,500",2.27,"104,344","406,156",2.85,0,0,0,0,0,"3,939",12.87,0,"3,939",12.87,"502,037",0.02,0,"502,037",0.02,"441,359",7.38,"144,253","297,106",10.96,"67,038",17.16,0,"67,038",17.16,"192,485",4.92,0,"192,485",4.92,"476,951",1.25,"29,000","447,951",1.33,"65,678",29.36,"3,798","61,880",31.16,"16,654",24.82,0,"16,654",24.82,"745,226",0.46,0,"745,226",0.46,"2,098,938",4.73,"129,622","1,969,316",5.04,"772,772",0.86,"399,131","373,641",1.78,"62,963",1.41,0,"62,963",1.41,"47,923",0.46,"27,884","20,039",1.09
127,Long-term,"3,135,217,642",0.16,"1,165,270,480","1,969,947,162",0.25,"30,578,404",0.94,"10,047,941","20,530,463",1.41,"9,445,215",0.52,"6,011,461","3,433,754",1.42,"44,113,697",0.52,"13,531,122","30,582,575",0.75,"19,456,864",1.08,"7,177,846","12,279,018",1.71,"505,864,828",0.61,"145,292,659","360,572,169",0.86,"63,527,919",3.15,"18,875,608","44,652,311",4.48,"53,171,813",0.35,"41,822,351","11,349,462",1.63,"7,424,808",0.32,"4,963,995","2,460,813",0.96,"4,803,052",0,0,"4,803,052",0,"130,085,558",0.77,"25,980,964","104,104,594",0.96,"59,933,368",0.7,"13,519,908","46,413,460",0.91,"17,715,106",0,"10,001,827","7,713,279",0,"6,139,328",0.87,"3,380,611","2,758,717",1.93,"164,595,061",0.71,"65,272,158","99,322,903",1.17,"49,865,089",0.27,"22,291,296","27,573,793",0.48,"19,586,823",0.7,"6,185,137","13,401,686",1.03,"26,340,176",0.75,"7,417,694","18,922,482",1.05,"52,620,276",0.61,"15,317,875","37,302,401",0.86,"34,345,622",0.52,"17,442,775","16,902,847",1.05,"8,399,611",1.17,"4,695,100","3,704,511",2.65,"55,723,568",0.44,"28,920,091","26,803,477",0.92,"96,211,592",0.44,"78,533,496","17,678,096",2.42,"71,575,343",0.51,"31,564,506","40,010,837",0.91,"54,860,301",0.59,"17,113,745","37,746,556",0.86,"14,432,752",0.31,"7,197,408","7,235,344",0.61
